seq,stamp,id,own_id,x,y,z,distance
0,1758722388.455789134,31,170,515.681,-388.195,2482.46,2565,
0,1758722388.475855069,31,170,511.862,-385.319,2464.07,2546,
0,1758722388.495800799,31,170,510.052,-383.957,2455.36,2537,
0,1758722388.515938064,31,170,510.052,-383.957,2455.36,2537,
0,1758722388.535821019,31,170,511.862,-385.319,2464.07,2546,
0,1758722388.555821062,31,170,515.681,-388.195,2482.46,2565,
0,1758722388.575831379,31,170,511.057,-384.714,2460.2,2542,
0,1758722388.595782555,31,170,512.867,-386.076,2468.91,2551,
0,1758722388.615845027,31,170,514.676,-387.438,2477.62,2560,
0,1758722388.635956390,31,170,514.676,-387.438,2477.62,2560,
0,1758722388.655761156,31,170,513.872,-386.833,2473.75,2556,
0,1758722388.675748199,31,170,519.501,-391.07,2500.85,2584,
0,1758722388.695870000,31,170,518.496,-390.314,2496.01,2579,
0,1758722388.715894121,31,170,518.496,-390.314,2496.01,2579,
0,1758722388.736037413,31,170,517.692,-389.708,2492.14,2575,
0,1758722388.755825748,31,170,513.872,-386.833,2473.75,2556,
0,1758722388.775860085,31,170,513.872,-386.833,2473.75,2556,
0,1758722388.795906647,31,170,511.862,-385.319,2464.07,2546,
0,1758722388.815860180,31,170,512.867,-386.076,2468.91,2551,
0,1758722388.835967798,31,170,518.496,-390.314,2496.01,2579,
0,1758722388.855773200,31,170,514.676,-387.438,2477.62,2560,
0,1758722388.875914967,31,170,511.862,-385.319,2464.07,2546,
0,1758722388.895880743,31,170,512.867,-386.076,2468.91,2551,
0,1758722388.915850602,31,170,515.681,-388.195,2482.46,2565,
0,1758722388.935924482,31,170,512.867,-386.076,2468.91,2551,
0,1758722388.955829672,31,170,512.867,-386.076,2468.91,2551,
0,1758722388.975854690,31,170,520.506,-391.827,2505.69,2589,
0,1758722388.995859432,31,170,511.057,-384.714,2460.2,2542,
0,1758722389.15858619,31,170,516.687,-388.952,2487.3,2570,
0,1758722389.35874258,31,170,516.687,-388.952,2487.3,2570,
0,1758722389.55878769,31,170,519.501,-391.07,2500.85,2584,
0,1758722389.75813665,31,170,511.862,-385.319,2464.07,2546,
0,1758722389.95803598,31,170,517.692,-389.708,2492.14,2575,
0,1758722389.115798136,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.135908385,31,170,515.681,-388.195,2482.46,2565,
0,1758722389.155824295,31,170,516.687,-388.952,2487.3,2570,
0,1758722389.175847555,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.195890201,31,170,511.057,-384.714,2460.2,2542,
0,1758722389.215917601,31,170,514.676,-387.438,2477.62,2560,
0,1758722389.235975390,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.255778772,31,170,517.692,-389.708,2492.14,2575,
0,1758722389.275876251,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.295909623,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.315895830,31,170,517.692,-389.708,2492.14,2575,
0,1758722389.335957271,31,170,511.862,-385.319,2464.07,2546,
0,1758722389.355838059,31,170,511.862,-385.319,2464.07,2546,
0,1758722389.375849347,31,170,516.687,-388.952,2487.3,2570,
0,1758722389.395911278,31,170,510.052,-383.957,2455.36,2537,
0,1758722389.415873511,31,170,511.057,-384.714,2460.2,2542,
0,1758722389.435922320,31,170,511.862,-385.319,2464.07,2546,
0,1758722389.455862791,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.475911896,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.495863752,31,170,517.692,-389.708,2492.14,2575,
0,1758722389.515944870,31,170,515.681,-388.195,2482.46,2565,
0,1758722389.535883413,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.555791820,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.575869000,31,170,519.501,-391.07,2500.85,2584,
0,1758722389.595805001,31,170,515.681,-388.195,2482.46,2565,
0,1758722389.615763717,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.635751668,31,170,519.501,-391.07,2500.85,2584,
0,1758722389.655724748,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.675869977,31,170,519.501,-391.07,2500.85,2584,
0,1758722389.695821243,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.715835081,31,170,514.676,-387.438,2477.62,2560,
0,1758722389.736027070,31,170,512.867,-386.076,2468.91,2551,
0,1758722389.755910395,31,170,520.506,-391.827,2505.69,2589,
0,1758722389.775934467,31,170,515.681,-388.195,2482.46,2565,
0,1758722389.795841109,31,170,514.676,-387.438,2477.62,2560,
0,1758722389.815911978,31,170,514.676,-387.438,2477.62,2560,
0,1758722389.835840360,31,170,519.501,-391.07,2500.85,2584,
0,1758722389.855786379,31,170,513.872,-386.833,2473.75,2556,
0,1758722389.875824471,31,170,520.506,-391.827,2505.69,2589,
0,1758722389.895859111,31,170,511.057,-384.714,2460.2,2542,
0,1758722389.915879702,31,170,514.676,-387.438,2477.62,2560,
0,1758722389.935815687,31,170,520.506,-391.827,2505.69,2589,
0,1758722389.955807670,31,170,510.052,-383.957,2455.36,2537,
0,1758722389.975842992,31,170,518.496,-390.314,2496.01,2579,
0,1758722389.995869972,31,170,519.501,-391.07,2500.85,2584,
0,1758722390.15873770,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.35874043,31,170,519.501,-391.07,2500.85,2584,
0,1758722390.55806137,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.75846787,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.95880336,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.115902422,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.135872245,31,170,518.496,-390.314,2496.01,2579,
0,1758722390.155859837,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.175838264,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.195892597,31,170,514.676,-387.438,2477.62,2560,
0,1758722390.215831737,31,170,511.057,-384.714,2460.2,2542,
0,1758722390.235903478,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.255861542,31,170,515.681,-388.195,2482.46,2565,
0,1758722390.275812118,31,170,518.496,-390.314,2496.01,2579,
0,1758722390.295886988,31,170,515.681,-388.195,2482.46,2565,
0,1758722390.315819728,31,170,511.862,-385.319,2464.07,2546,
0,1758722390.335877139,31,170,511.862,-385.319,2464.07,2546,
0,1758722390.355914186,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.375802243,31,170,517.692,-389.708,2492.14,2575,
0,1758722390.395849492,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.415859848,31,170,511.057,-384.714,2460.2,2542,
0,1758722390.435972269,31,170,515.681,-388.195,2482.46,2565,
0,1758722390.455808108,31,170,513.872,-386.833,2473.75,2556,
0,1758722390.475812722,31,170,511.862,-385.319,2464.07,2546,
0,1758722390.495862017,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.515881554,31,170,514.676,-387.438,2477.62,2560,
0,1758722390.535871580,31,170,515.681,-388.195,2482.46,2565,
0,1758722390.555983051,31,170,513.872,-386.833,2473.75,2556,
0,1758722390.575799691,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.595863862,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.615839420,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.635814957,31,170,518.496,-390.314,2496.01,2579,
0,1758722390.655880609,31,170,519.501,-391.07,2500.85,2584,
0,1758722390.675804062,31,170,515.681,-388.195,2482.46,2565,
0,1758722390.695856432,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.715876444,31,170,520.506,-391.827,2505.69,2589,
0,1758722390.735833737,31,170,516.687,-388.952,2487.3,2570,
0,1758722390.755836021,31,170,513.872,-386.833,2473.75,2556,
0,1758722390.775753921,31,170,514.676,-387.438,2477.62,2560,
0,1758722390.795867583,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.815805063,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.835781094,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.855884691,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.875714886,31,170,513.872,-386.833,2473.75,2556,
0,1758722390.895754418,31,170,518.496,-390.314,2496.01,2579,
0,1758722390.915772499,31,170,514.676,-387.438,2477.62,2560,
0,1758722390.935761611,31,170,511.862,-385.319,2464.07,2546,
0,1758722390.955741739,31,170,512.867,-386.076,2468.91,2551,
0,1758722390.975744630,31,170,511.057,-384.714,2460.2,2542,
0,1758722390.995792831,31,170,511.862,-385.319,2464.07,2546,
0,1758722391.15756511,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.35758225,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.55752283,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.75737365,31,170,514.676,-387.438,2477.62,2560,
0,1758722391.95754421,31,170,514.676,-387.438,2477.62,2560,
0,1758722391.115736495,31,170,514.676,-387.438,2477.62,2560,
0,1758722391.135723413,31,170,516.687,-388.952,2487.3,2570,
0,1758722391.155761818,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.175741055,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.195733328,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.215746971,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.235756210,31,170,514.676,-387.438,2477.62,2560,
0,1758722391.255754554,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.275716360,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.295717198,31,170,523.321,-393.946,2519.24,2603,
0,1758722391.315725717,31,170,511.862,-385.319,2464.07,2546,
